feature,importance
time_sin,56
vwap_dev,48
kyles_lambda,37
amihud_illiquidity,31
vol_delta,30
adx,27
ema_slope,25
gk_vol,25
rel_strength,19
bb_width,17
momentum,13
time_cos,11
time_minutes,9
atr,7
realized_vol,6
range_exp,1
session_afternoon,1
rvol,0
session_opening,0
session_closing,0
trade_size_dist,0
session_lunch,0
session_morning,0
sentiment_score,0
