timestamp,symbol,direction,entry_price,stop_loss,target_1,target_2,risk_reward,confidence,regime,vix,atr,valid_until
2026-06-09 10:30:00,INFY,BUY,1171.6,1166.67,1181.46,1188.85,2.0,70.0,trending,15.5,4.93,15:10 IST
2026-06-09 10:30:00,WIPRO,BUY,182.05,181.18,183.79,185.09,2.0,70.0,trending,15.5,0.87,15:10 IST
2026-06-09 10:30:00,BAJFINANCE,BUY,883.7,880.23,890.64,895.84,2.0,53.0,trending,15.5,3.47,15:10 IST
